N,PESQ_Mix,PESQ_Disc,PESQ_Gen,ESTOI_Mix,ESTOI_Disc,ESTOI_Gen,SISNR_Mix,SISNR_Disc,SISNR_Gen,SDR_Mix,SDR_Disc,SDR_Gen,DNSMOS_Mix,DNSMOS_Disc,DNSMOS_Gen,SIM_Disc,SIM_Gen,WER_Disc,WER_Gen
453,1.653,3.061,2.69,0.541,0.858,0.816,-0.001,11.924,11.76,0.18,14.309,14.095,2.937,3.108,3.348,0.978,0.973,5.304,8.127
454,1.653,3.061,2.691,0.541,0.858,0.816,0.002,11.923,11.759,0.183,14.306,14.092,2.939,3.108,3.348,0.978,0.973,5.292,8.109
455,1.654,3.06,2.69,0.542,0.858,0.816,0.015,11.927,11.763,0.196,14.314,14.101,2.939,3.107,3.348,0.978,0.973,5.28,8.091
456,1.653,3.061,2.69,0.541,0.858,0.816,0.002,11.922,11.758,0.183,14.307,14.094,2.939,3.106,3.346,0.978,0.973,5.283,8.088
457,1.654,3.062,2.691,0.542,0.858,0.817,0.009,11.924,11.76,0.191,14.314,14.1,2.939,3.105,3.346,0.978,0.973,5.272,8.07
458,1.653,3.061,2.691,0.541,0.858,0.816,0.001,11.915,11.752,0.183,14.31,14.097,2.938,3.105,3.345,0.978,0.973,5.26,8.115
459,1.653,3.06,2.691,0.541,0.858,0.817,0.002,11.916,11.753,0.184,14.316,14.103,2.939,3.105,3.346,0.978,0.973,5.249,8.108
460,1.652,3.062,2.691,0.541,0.858,0.817,0.001,11.92,11.756,0.183,14.32,14.105,2.94,3.106,3.346,0.978,0.973,5.238,8.11
461,1.653,3.062,2.692,0.542,0.858,0.817,0.008,11.921,11.757,0.19,14.326,14.112,2.94,3.106,3.347,0.978,0.973,5.226,8.092
462,1.653,3.062,2.692,0.541,0.858,0.817,0.001,11.915,11.752,0.183,14.326,14.113,2.941,3.106,3.347,0.978,0.973,5.215,8.075
463,1.653,3.062,2.693,0.541,0.859,0.817,0.003,11.917,11.754,0.185,14.331,14.118,2.94,3.106,3.348,0.978,0.973,5.204,8.057
464,1.652,3.062,2.694,0.541,0.859,0.817,0.001,11.921,11.758,0.182,14.335,14.122,2.94,3.107,3.348,0.978,0.973,5.192,8.048
465,1.652,3.063,2.695,0.542,0.859,0.818,-0.001,11.922,11.759,0.181,14.342,14.129,2.941,3.108,3.35,0.978,0.973,5.181,8.031
466,1.651,3.061,2.694,0.541,0.859,0.818,0.0,11.919,11.756,0.182,14.338,14.125,2.942,3.108,3.35,0.978,0.973,5.183,8.041
467,1.65,3.061,2.694,0.542,0.859,0.818,0.004,11.92,11.758,0.185,14.342,14.13,2.939,3.108,3.351,0.978,0.973,5.172,8.023
468,1.651,3.061,2.694,0.541,0.859,0.818,-0.0,11.918,11.755,0.182,14.336,14.123,2.937,3.107,3.35,0.978,0.973,5.192,8.022
469,1.65,3.061,2.695,0.542,0.859,0.818,0.004,11.919,11.757,0.186,14.345,14.133,2.938,3.107,3.351,0.978,0.973,5.181,8.004
470,1.649,3.062,2.695,0.541,0.859,0.818,-0.0,11.921,11.759,0.182,14.352,14.14,2.94,3.108,3.352,0.978,0.973,5.193,8.011
471,1.648,3.061,2.694,0.541,0.859,0.818,-0.008,11.921,11.759,0.174,14.353,14.141,2.941,3.108,3.353,0.978,0.973,5.23,8.065
472,1.649,3.062,2.695,0.541,0.859,0.818,0.0,11.926,11.764,0.182,14.356,14.143,2.942,3.108,3.353,0.978,0.973,5.218,8.048
