N,PESQ_Mix,PESQ_Disc,PESQ_Gen,ESTOI_Mix,ESTOI_Disc,ESTOI_Gen,SISNR_Mix,SISNR_Disc,SISNR_Gen,SDR_Mix,SDR_Disc,SDR_Gen,DNSMOS_Mix,DNSMOS_Disc,DNSMOS_Gen,SIM_Disc,SIM_Gen,WER_Disc,WER_Gen
207,1.671,3.033,2.71,0.545,0.849,0.81,-0.03,11.723,11.563,0.166,14.231,14.019,3.013,3.118,3.362,0.977,0.972,6.012,8.369
208,1.671,3.033,2.71,0.546,0.85,0.81,0.001,11.701,11.541,0.196,14.221,14.009,3.009,3.118,3.362,0.977,0.972,5.983,8.328
209,1.67,3.031,2.709,0.546,0.85,0.81,-0.009,11.694,11.534,0.185,14.21,13.998,3.007,3.118,3.363,0.977,0.972,6.034,8.289
210,1.67,3.033,2.711,0.546,0.85,0.811,0.002,11.7,11.54,0.196,14.209,13.997,3.004,3.118,3.361,0.977,0.972,6.005,8.249
211,1.672,3.037,2.714,0.547,0.85,0.811,0.034,11.702,11.541,0.228,14.21,13.997,3.003,3.117,3.359,0.977,0.972,5.977,8.21
212,1.669,3.034,2.712,0.546,0.85,0.811,0.002,11.704,11.543,0.197,14.208,13.995,3.001,3.117,3.359,0.977,0.972,5.992,8.429
213,1.668,3.033,2.712,0.546,0.85,0.811,-0.006,11.71,11.548,0.191,14.208,13.995,2.999,3.116,3.36,0.977,0.972,5.964,8.389
214,1.667,3.035,2.712,0.546,0.851,0.811,0.0,11.719,11.556,0.197,14.213,13.999,2.997,3.116,3.356,0.977,0.972,5.936,8.35
215,1.666,3.034,2.712,0.546,0.851,0.812,-0.009,11.725,11.562,0.187,14.212,13.998,2.993,3.116,3.357,0.977,0.972,5.908,8.311
216,1.665,3.034,2.711,0.545,0.851,0.812,-0.0,11.732,11.568,0.195,14.21,13.995,2.99,3.116,3.358,0.977,0.972,5.881,8.272
217,1.665,3.035,2.712,0.546,0.851,0.812,-0.002,11.739,11.568,0.193,14.214,13.991,2.988,3.116,3.359,0.977,0.972,5.946,8.303
218,1.663,3.033,2.709,0.545,0.851,0.812,-0.0,11.728,11.556,0.194,14.197,13.973,2.987,3.116,3.357,0.977,0.972,6.0,8.4
219,1.663,3.034,2.711,0.546,0.851,0.812,0.01,11.735,11.561,0.204,14.199,13.973,2.986,3.117,3.359,0.977,0.972,5.972,8.362
220,1.662,3.034,2.709,0.545,0.851,0.811,-0.001,11.727,11.552,0.193,14.186,13.958,2.985,3.115,3.357,0.977,0.972,6.021,8.4
221,1.662,3.036,2.71,0.546,0.851,0.812,-0.011,11.734,11.557,0.182,14.195,13.965,2.986,3.116,3.36,0.977,0.972,5.993,8.362
222,1.661,3.035,2.708,0.545,0.851,0.812,0.0,11.726,11.55,0.193,14.211,13.98,2.987,3.115,3.361,0.977,0.972,5.999,8.356
223,1.661,3.036,2.708,0.546,0.851,0.812,0.001,11.728,11.552,0.193,14.21,13.98,2.986,3.116,3.361,0.977,0.972,5.972,8.319
224,1.66,3.038,2.708,0.546,0.852,0.812,0.0,11.733,11.558,0.192,14.21,13.98,2.984,3.117,3.361,0.977,0.972,5.945,8.341
225,1.66,3.039,2.707,0.546,0.852,0.813,-0.003,11.741,11.564,0.188,14.222,13.989,2.984,3.118,3.362,0.977,0.972,5.919,8.304
